status,filename,date,time
Sucess,1,today,time
Sucess,1,today,time
"('SUCCESS',)",1,2022-02-22,13:56:05
"('SUCCESS',)",1,2022-02-22,13:57:18
"('SUCCESS',)",foo,2022-02-22,14:14:55
SUCCESS,roni,2022-02-22,14:16:04
SUCCESS,jyoo,2022-02-22,14:16:09
SUCCESS,foo,2022-02-22,14:16:21
SUCCESS,1,2022-02-22,14:17:51
SUCCESS,jyoo,2022-02-22,14:17:55
SUCCESS,1,2022-02-22,14:19:05
SUCCESS,jyoo,2022-02-22,14:19:09
SUCCESS,roni,2022-02-22,14:19:42
SUCCESS,foo,2022-02-22,14:19:45
SUCCESS,1,2022-02-22,14:22:16
SUCCESS,foo,2022-02-22,14:22:18
SUCCESS,1,2022-02-22,14:23:45
SUCCESS,jyoo,2022-02-22,14:23:54
SUCCESS,1,2022-02-22,14:24:44
SUCCESS,roni,2022-02-22,14:24:48
SUCCESS,roni,2022-02-22,14:25:31
SUCCESS,jyoo,2022-02-22,14:25:36
SUCCESS,foo,2022-02-22,14:25:43
SUCCESS,1,2022-02-22,14:25:48
SUCCESS,roni,2022-02-22,14:28:38
SUCCESS,foo,2022-02-22,14:28:45
SUCCESS,1,2022-02-22,14:28:49
